CRate,PoliceFunding,Plus25With4YearsHSchool,Year16to19NoHSchool,Years18to24College,Plus25With4YearsCollege
0.000863,20,69,23,7,12
0.000657,33,72,13,13,22
0.000439,31,61,19,14,12
0.00076,32,45,34,15,10
0.001324,82,72,22,15,16
0.000643,57,70,18,16,16
0.000547,44,45,26,18,8
0.00174,86,62,22,18,15
0.00094,66,67,26,18,16
0.000506,35,60,13,21,9
0.000457,29,64,12,21,10
0.000776,32,50,19,21,9
0.001419,43,59,14,21,13
0.000623,38,54,20,22,11
0.000859,38,48,19,22,10
0.000792,28,57,12,23,11
0.000462,36,43,18,23,8
0.000936,43,48,26,23,12
0.000783,55,42,23,23,11
0.000484,34,68,12,24,14
0.000619,33,46,22,24,8
0.000912,27,44,21,24,9
0.000341,31,71,11,25,19
0.000424,36,69,7,25,12
0.000805,46,57,14,25,12
0.000652,29,47,19,25,9
0.000357,35,54,14,27,13
0.000821,30,54,13,27,12
0.000546,33,62,13,28,11
0.000773,67,72,9,29,24
0.000715,44,49,18,30,12
0.000478,40,74,11,31,20
0.00057,30,59,15,31,16
0.000867,39,52,17,31,10
0.000732,44,49,13,31,14
0.000603,25,68,8,32,15
0.000919,39,48,16,32,11
0.000514,30,65,12,35,11
0.001504,37,57,15,35,13
0.000541,44,66,9,37,12
0.000491,32,67,11,37,16
0.000815,30,47,17,39,11
0.000371,16,64,10,42,14
0.000494,32,72,11,43,18
0.000989,22,49,9,46,13
0.000432,23,56,15,50,15
0.000548,31,66,9,58,15
0.000799,35,57,9,60,18
0.000819,30,81,4,77,36
0.000437,36,62,7,81,27
